날짜,시군구지역코드,발생건수(건)
2023-10-04,48121,2723
2023-10-04,48123,2704
2023-10-04,48125,2420
2023-10-04,48127,2286
2023-10-04,48129,2565
2023-10-04,48170,3765
2023-10-04,48220,1330
2023-10-04,48240,1264
2023-10-04,48250,7533
2023-10-04,48270,1109
2023-10-04,48310,3449
2023-10-04,48330,5169
2023-10-04,48720,252
2023-10-04,48730,679
2023-10-04,48740,637
2023-10-04,48820,505
2023-10-04,48840,434
2023-10-04,48850,386
2023-10-04,48860,330
2023-10-04,48870,455
2023-10-04,48880,674
2023-10-04,48890,454
2023-10-04,49110,5230
2023-10-04,49130,2178
2023-10-05,11110,1127
2023-10-05,11140,1133
2023-10-05,11170,1864
2023-10-05,11200,2903
2023-10-05,11215,3292
2023-10-05,11230,3239
2023-10-05,11260,3985
2023-10-05,11290,4305
2023-10-05,11305,2778
2023-10-05,11320,2893
2023-10-05,11350,5106
2023-10-05,11380,4771
2023-10-05,11410,3175
2023-10-05,11440,3752
2023-10-05,11470,4443
2023-10-05,11500,5902
2023-10-05,11530,4386
2023-10-05,11545,2359
2023-10-05,11560,4055
2023-10-05,11590,3366
2023-10-05,11620,4372
2023-10-05,11650,3741
2023-10-05,11680,5116
2023-10-05,11710,6973
2023-10-05,11740,4869
2023-10-05,26110,310
2023-10-05,26140,863
2023-10-05,26170,819
2023-10-05,26200,909
2023-10-05,26230,3678
2023-10-05,26260,2761
2023-10-05,26290,2605
2023-10-05,26320,2418
2023-10-05,26350,4306
2023-10-05,26380,3179
2023-10-05,26410,2148
2023-10-05,26440,1978
2023-10-05,26470,2201
2023-10-05,26500,1556
2023-10-05,26530,1998
2023-10-05,26710,2237
2023-10-05,27110,866
2023-10-05,27140,3522
2023-10-05,27170,1442
2023-10-05,27200,1114
2023-10-05,27230,4460
2023-10-05,27260,3949
2023-10-05,27290,5369
2023-10-05,27710,3526
2023-10-05,28110,1678
2023-10-05,28140,617
2023-10-05,28170,0
2023-10-05,28185,4544
2023-10-05,28200,5574
2023-10-05,28237,5412
2023-10-05,28245,2890
2023-10-05,28260,7815
2023-10-05,28710,554
2023-10-05,28720,182
2023-10-05,29110,1192
2023-10-05,29140,3070
2023-10-05,29155,2174
2023-10-05,29170,4311
2023-10-05,29200,4147
2023-10-05,30110,2705
2023-10-05,30140,2294
2023-10-05,30170,5213
2023-10-05,30200,4593
2023-10-05,30230,2074
2023-10-05,31110,1964
2023-10-05,31140,3161
2023-10-05,31170,1589
2023-10-05,31200,2777
2023-10-05,31710,2112
2023-10-05,36110,5601
2023-10-05,41111,3062
2023-10-05,41113,4360
2023-10-05,41115,2167
2023-10-05,41117,4178
2023-10-05,41131,2588
2023-10-05,41133,2421
2023-10-05,41135,4750
2023-10-05,41150,5144
2023-10-05,41171,2432
2023-10-05,41173,3808
2023-10-05,41190,8770
2023-10-05,41210,3525
2023-10-05,41220,6804
2023-10-05,41250,899
2023-10-05,41271,3491
2023-10-05,41273,3736
2023-10-05,41281,5888
2023-10-05,41285,2903
2023-10-05,41287,3280
2023-10-05,41290,913
2023-10-05,41310,2250
2023-10-05,41360,8604
2023-10-05,41370,2790
2023-10-05,41390,6821
2023-10-05,41410,3009
2023-10-05,41430,1791
2023-10-05,41450,4375
2023-10-05,41461,2730
2023-10-05,41463,4681
2023-10-05,41465,4360
2023-10-05,41480,5661
2023-10-05,41500,2081
2023-10-05,41550,2022
2023-10-05,41570,6247
2023-10-05,41590,12611
2023-10-05,41610,4372
2023-10-05,41630,3301
2023-10-05,41650,1339
2023-10-05,41670,1169
2023-10-05,41800,320
2023-10-05,41820,449
2023-10-05,41830,1069
2023-10-05,42130,0
2023-10-05,42150,0
2023-10-05,42170,1
2023-10-05,42720,0
2023-10-05,42750,0
2023-10-05,42760,0
2023-10-05,42770,0
2023-10-05,42790,0
2023-10-05,42810,0
2023-10-05,42830,1
2023-10-05,43111,2168
2023-10-05,43112,2113
2023-10-05,43113,3349
2023-10-05,43114,2356
2023-10-05,43130,1784
2023-10-05,43150,959
2023-10-05,43720,239
2023-10-05,43730,636
2023-10-05,43740,360
2023-10-05,43745,446
2023-10-05,43750,994
2023-10-05,43760,267
2023-10-05,43770,965
2023-10-05,43800,185
2023-10-05,44131,2464
2023-10-05,44133,4509
2023-10-05,44150,838
2023-10-05,44180,971
2023-10-05,44200,4150
2023-10-05,44210,1529
2023-10-05,44230,1168
2023-10-05,44250,658
2023-10-05,44270,1570
2023-10-05,44710,394
2023-10-05,44760,507
2023-10-05,44770,493
2023-10-05,44790,247
2023-10-05,44800,918
2023-10-05,44810,649
2023-10-05,44825,567
2023-10-05,45111,3259
2023-10-05,45113,3691
2023-10-05,45130,2947
2023-10-05,45140,2813
2023-10-05,45180,1040
2023-10-05,45190,630
2023-10-05,45210,743
2023-10-05,45710,991
2023-10-05,45720,232
2023-10-05,45730,193
2023-10-05,45740,176
