날짜,시도지역코드,발생건수(건)
2023-11-25,44,1139
2023-11-25,45,949
2023-11-25,46,844
2023-11-25,47,1227
2023-11-25,48,1548
2023-11-25,49,272
2023-11-25,99,25141
2023-11-26,11,293
2023-11-26,26,45
2023-11-26,27,43
2023-11-26,28,92
2023-11-26,29,61
2023-11-26,30,38
2023-11-26,31,26
2023-11-26,41,619
2023-11-26,43,36
2023-11-26,44,91
2023-11-26,45,51
2023-11-26,46,63
2023-11-26,47,29
2023-11-26,48,62
2023-11-26,49,94
2023-11-26,99,1663
2023-11-27,11,8623
2023-11-27,26,3349
2023-11-27,27,2699
2023-11-27,28,2304
2023-11-27,29,1079
2023-11-27,30,1389
2023-11-27,31,771
2023-11-27,41,12177
2023-11-27,42,0
2023-11-27,43,1410
2023-11-27,44,2084
2023-11-27,45,1970
2023-11-27,46,1671
2023-11-27,47,2545
2023-11-27,48,2912
2023-11-27,49,817
2023-11-27,99,47114
2023-11-28,11,7117
2023-11-28,26,2660
2023-11-28,27,2073
2023-11-28,28,1978
2023-11-28,29,876
2023-11-28,30,1190
2023-11-28,31,625
2023-11-28,41,9926
2023-11-28,42,0
2023-11-28,43,1179
2023-11-28,44,1757
2023-11-28,45,1653
2023-11-28,46,1451
2023-11-28,47,2013
2023-11-28,48,2410
2023-11-28,49,637
2023-11-28,99,38775
2023-11-29,11,6275
2023-11-29,26,2439
2023-11-29,27,1897
2023-11-29,28,1709
2023-11-29,29,775
2023-11-29,30,1093
2023-11-29,31,549
2023-11-29,41,8815
2023-11-29,42,0
2023-11-29,43,1016
2023-11-29,44,1526
2023-11-29,45,1431
2023-11-29,46,1138
2023-11-29,47,1866
2023-11-29,48,1951
2023-11-29,49,545
2023-11-29,99,34061
2023-11-30,11,6115
2023-11-30,26,2297
2023-11-30,27,1904
2023-11-30,28,1558
2023-11-30,29,761
2023-11-30,30,1070
2023-11-30,31,561
2023-11-30,41,8891
2023-11-30,42,1
2023-11-30,43,1036
2023-11-30,44,1625
2023-11-30,45,1360
2023-11-30,46,1193
2023-11-30,47,1849
2023-11-30,48,1945
2023-11-30,49,553
2023-11-30,99,33672
2023-12-01,11,7608
2023-12-01,26,2606
2023-12-01,27,2238
2023-12-01,28,1928
2023-12-01,29,962
2023-12-01,30,1185
2023-12-01,31,582
2023-12-01,41,10861
2023-12-01,42,0
2023-12-01,43,1186
2023-12-01,44,1713
2023-12-01,45,1582
2023-12-01,46,1339
2023-12-01,47,2056
2023-12-01,48,2399
2023-12-01,49,569
2023-12-01,99,40077
2023-12-02,11,4912
2023-12-02,26,1666
2023-12-02,27,1495
2023-12-02,28,1400
2023-12-02,29,607
2023-12-02,30,821
2023-12-02,31,399
2023-12-02,41,7463
2023-12-02,42,0
2023-12-02,43,779
2023-12-02,44,1158
2023-12-02,45,1058
2023-12-02,46,813
2023-12-02,47,1148
2023-12-02,48,1593
2023-12-02,49,334
2023-12-02,99,26274
2023-12-03,11,286
2023-12-03,26,51
2023-12-03,27,24
2023-12-03,28,108
2023-12-03,29,51
2023-12-03,30,39
2023-12-03,31,24
2023-12-03,41,617
2023-12-03,42,0
2023-12-03,43,33
2023-12-03,44,83
2023-12-03,45,36
2023-12-03,46,45
2023-12-03,47,29
2023-12-03,48,81
2023-12-03,49,68
2023-12-03,99,1594
2023-12-04,11,9071
2023-12-04,26,3382
2023-12-04,27,2743
2023-12-04,28,2429
2023-12-04,29,1097
2023-12-04,30,1455
2023-12-04,31,732
2023-12-04,41,12573
2023-12-04,42,0
2023-12-04,43,1419
2023-12-04,44,2204
2023-12-04,45,2164
2023-12-04,46,1696
2023-12-04,47,2598
2023-12-04,48,2796
2023-12-04,49,775
2023-12-04,99,48588
2023-12-05,11,7440
2023-12-05,26,2588
2023-12-05,27,2184
2023-12-05,28,2005
2023-12-05,29,893
2023-12-05,30,1163
2023-12-05,31,686
2023-12-05,41,10622
2023-12-05,42,0
2023-12-05,43,1171
2023-12-05,44,1942
2023-12-05,45,1736
2023-12-05,46,1440
2023-12-05,47,2240
2023-12-05,48,2363
2023-12-05,49,699
2023-12-05,99,40397
2023-12-06,11,5869
2023-12-06,26,2353
2023-12-06,27,1991
2023-12-06,28,1655
2023-12-06,29,777
2023-12-06,30,1123
2023-12-06,31,524
2023-12-06,41,8607
2023-12-06,42,0
2023-12-06,43,1008
2023-12-06,44,1534
2023-12-06,45,1569
2023-12-06,46,1141
2023-12-06,47,1862
2023-12-06,48,2000
2023-12-06,49,619
2023-12-06,99,33622
2023-12-07,11,6706
2023-12-07,26,2335
2023-12-07,27,2030
2023-12-07,28,1742
2023-12-07,29,772
2023-12-07,30,1174
2023-12-07,31,587
2023-12-07,41,9510
2023-12-07,42,1
2023-12-07,43,1007
2023-12-07,44,1697
2023-12-07,45,1711
2023-12-07,46,1314
2023-12-07,47,2104
2023-12-07,48,2267
2023-12-07,49,598
2023-12-07,99,36635
2023-12-08,11,7782
2023-12-08,26,2807
2023-12-08,27,2408
2023-12-08,28,2100
2023-12-08,29,960
2023-12-08,30,1296
2023-12-08,31,583
2023-12-08,41,11452
2023-12-08,42,0
2023-12-08,43,1228
2023-12-08,44,1884
2023-12-08,45,1833
2023-12-08,46,1403
2023-12-08,47,2270
2023-12-08,48,2437
2023-12-08,49,663
2023-12-08,99,42395
2023-12-09,11,4903
2023-12-09,26,1649
2023-12-09,27,1513
2023-12-09,28,1390
2023-12-09,29,664
2023-12-09,30,779
2023-12-09,31,423
2023-12-09,41,7472
2023-12-09,42,1
2023-12-09,43,825
2023-12-09,44,1271
2023-12-09,45,1083
2023-12-09,46,863
2023-12-09,47,1306
2023-12-09,48,1481
2023-12-09,49,356
2023-12-09,99,26637
2023-12-10,11,291
2023-12-10,26,37
2023-12-10,27,29
2023-12-10,28,80
2023-12-10,29,51
2023-12-10,30,24
2023-12-10,31,13
2023-12-10,41,568
2023-12-10,43,32
2023-12-10,44,70
2023-12-10,45,42
2023-12-10,46,35
